,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
26415,26415,147928,E15_505095,HHE15_505095,23.0,F,E15_505095001,55.0,64.0,F,2.0,5.0,2.0,2021-02-17,3,17,2,21,9.0,57.0,1
26416,26416,147929,E15_505096,HHE15_505096,5.0,F,,,,,,,3.0,2021-02-17,3,17,2,21,,,0
26417,26417,147930,E15_505100,HHE15_505100,5.0,M,E15_505100001,25.0,29.0,F,1.0,5.0,5.0,2021-02-20,6,20,2,21,4.0,29.0,7
26418,26418,147931,E15_505100,HHE15_505100,5.0,M,E15_505100002,25.0,34.0,M,1.0,5.0,5.0,2021-02-20,6,20,2,21,9.0,31.0,7
26419,26419,147932,E15_505100,HHE15_505100,5.0,M,E15_505100003,1.0,4.0,M,1.0,5.0,5.0,2021-02-20,6,20,2,21,3.0,3.0,7
26420,26420,147933,E15_505100,HHE15_505100,5.0,M,E15_505100004,1.0,4.0,M,1.0,5.0,5.0,2021-02-20,6,20,2,21,3.0,4.0,7
26421,26421,147934,E15_505100,HHE15_505100,5.0,M,E15_505100005,55.0,64.0,F,1.0,3.0,5.0,2021-02-20,6,20,2,21,9.0,57.0,7
26422,26422,147935,E15_505100,HHE15_505100,5.0,M,E15_505100006,20.0,24.0,F,1.0,3.0,5.0,2021-02-20,6,20,2,21,4.0,23.0,7
26423,26423,147936,E15_505100,HHE15_505100,5.0,M,E15_505100007,70.0,74.0,M,1.0,3.0,5.0,2021-02-20,6,20,2,21,4.0,70.0,7
26424,26424,147937,E15_505102,HHE15_505102,22.0,M,E15_505102001,18.0,19.0,M,2.0,5.0,5.0,2021-02-19,5,19,2,21,1.0,19.0,3
26425,26425,147938,E15_505102,HHE15_505102,22.0,M,E15_505102002,20.0,24.0,M,2.0,4.0,5.0,2021-02-19,5,19,2,21,4.0,21.0,3
26426,26426,147939,E15_505102,HHE15_505102,22.0,M,E15_505102003,20.0,24.0,M,2.0,5.0,5.0,2021-02-19,5,19,2,21,4.0,20.0,3
26427,26427,147940,E15_505105,HHE15_505105,30.0,M,E15_505105001,25.0,34.0,F,1.0,4.0,2.0,2021-02-17,3,17,2,21,9.0,32.0,1
26428,26428,147941,E15_505106,HHE15_505106,38.0,F,E15_505106001,25.0,34.0,M,1.0,5.0,4.0,2021-02-17,3,17,2,21,9.0,28.0,3
26429,26429,147942,E15_505106,HHE15_505106,38.0,F,E15_505106002,5.0,11.0,F,1.0,5.0,4.0,2021-02-17,3,17,2,21,6.0,9.0,3
26430,26430,147943,E15_505106,HHE15_505106,38.0,F,E15_505106003,5.0,11.0,F,1.0,5.0,4.0,2021-02-17,3,17,2,21,6.0,10.0,3
